,MM_Acc,DD_Mes_Acc,Dia_Semana_Acc,Hora_Acc,Min_Acc,Localidad,Gravedad_Indicador_Tradicional,Clase,Edad,Sexo
25424,11,8,5,18,30,2,3,4,37.0,1
25425,11,8,5,18,30,2,3,9,35.0,1
25426,11,8,5,18,30,2,3,4,39.0,1
25427,11,10,7,5,20,10,1,3,45.0,1
25428,11,10,7,5,20,10,1,1,43.0,1
25429,11,9,6,14,15,19,1,2,23.0,1
25430,11,9,6,14,15,19,1,1,35.0,1
25431,11,9,6,15,15,12,1,2,17.0,2
25432,11,9,6,15,15,12,1,1,24.0,1
25433,11,9,6,19,18,15,1,4,49.0,1
25434,11,9,6,19,18,15,1,1,20.0,1
25435,11,11,1,0,30,2,1,1,26.0,1
25436,11,9,6,13,10,14,1,1,40.0,1
25437,11,9,6,13,10,14,1,5,26.0,1
25438,11,10,7,20,0,12,1,11,50.0,1
25439,11,10,7,20,0,12,1,11,40.0,2
25440,11,10,7,20,0,12,1,1,37.0,1
25441,11,10,7,17,54,15,1,2,51.0,1
25442,6,25,2,17,30,8,1,2,51.0,1
25443,6,25,2,17,30,8,1,5,43.0,2
25444,7,3,3,8,49,3,1,3,55.0,1
25445,7,9,2,12,20,10,1,2,31.0,2
25446,7,21,7,16,20,5,1,3,59.0,1
25447,7,21,7,16,20,5,1,3,62.0,2
25448,8,12,1,11,45,11,1,2,32.0,1
25449,8,12,1,11,45,11,1,1,31.0,1
25450,8,14,3,9,2,13,1,3,39.0,1
25451,8,14,3,9,2,13,1,1,31.0,2
25452,1,25,4,9,2,17,1,3,38.0,1
25453,1,25,4,9,2,17,1,2,28.0,1
25454,1,25,4,9,2,17,1,2,36.0,2
25455,1,25,4,9,2,17,1,2,0.0,1
25456,6,5,3,15,36,12,1,3,26.0,1
25457,6,5,3,15,36,12,1,5,25.0,1
25458,1,19,5,21,45,8,1,1,22.0,2
25459,1,28,7,5,15,16,1,1,25.0,1
25460,1,18,4,14,30,19,2,4,44.0,1
25461,1,30,2,10,28,1,1,6,53.0,1
25462,1,30,2,10,28,1,1,2,26.0,1
25463,1,30,2,10,28,1,1,5,34.0,1
25464,1,29,1,12,55,3,1,2,19.0,1
25465,1,29,1,12,55,3,1,1,27.0,1
25466,1,30,2,7,35,1,3,2,16.0,1
25467,1,30,2,7,35,1,3,2,37.0,2
25468,1,30,2,7,35,1,3,3,41.0,1
25469,1,30,2,7,35,1,3,2,61.0,1
25470,1,30,2,7,35,1,3,4,22.0,1
25471,2,10,6,20,34,18,1,2,33.0,1
25472,2,10,6,20,34,18,1,1,30.0,1
25473,2,11,7,9,0,7,1,2,61.0,1
25474,2,11,7,9,0,7,1,1,20.0,2
25475,2,8,4,17,7,12,1,2,31.0,2
25476,2,7,3,8,55,15,1,1,27.0,1
25477,2,10,6,8,37,12,1,1,27.0,1
